"Index","Quantity","Part Number","Manufacturer Part Number","Description","Customer Reference","Available","Backorder","Unit Price","Extended Price EUR"
"1","10","Y5220CT-ND","EXB-24V220JX","RES ARRAY 2 RES 22 OHM 0404","","10","0","0,04200","0,42"
"2","10","Y1151CT-ND","EXB-2HV151JV","RES ARRAY 8 RES 150 OHM 1506","","10","0","0,10300","1,03"
"3","25","Y7512CT-ND","EXB-28V512JX","RES ARRAY 4 RES 5.1K OHM 0804","","25","0","0,02960","0,74"
"4","2","1188-1176-ND","AVR-ICSP","6 - 10 PIN CROSS CONNECTION ADAP","","2","0","1,93000","3,86"
"5","5","535-ABM10-16.000MHZ-12-R80-3-D30-TCT-ND","ABM10-16.000MHZ-12-R80-3-D30-T","CRYSTAL 16.0000MHZ 12PF SMD","","5","0","0,43000","2,15"
"6","5","1939-PLUG-USBC-241SMTV-4BS60-ND","PLUG-USBC-241SMTV-4BS60","USB TYPE C JACK MALE 24P","","5","0","0,84000","4,20"
"7","10","445-1019-1-ND","MLF1608A3R3KTA00","FIXED IND 3.3UH 30MA 1.3 OHM SMD","","10","0","0,08400","0,84"
"8","4","MCP4706A0T-E/MAYCT-ND","MCP4706A0T-E/MAY","IC DAC 8BIT V-OUT 6DFN","","4","0","0,84000","3,36"
"9","4","296-38956-1-ND","INA214AIDCKR","IC CURR SENSE 1 CIRCUIT SC70-6","","4","0","0,68000","2,72"
"10","5","497-5026-1-ND","USBLC6-2P6","TVS DIODE 5.25VWM 17VC SOT666","","5","0","0,39000","1,95"
"11","10","1727-6229-1-ND","BZX384-C3V6,115","DIODE ZENER 3.6V 300MW SOD323","","10","0","0,06600","0,66"
"12","20","399-C0603C104K5RACTUCT-ND","C0603C104K5RACTU","CAP CER 0.1UF 50V X7R 0603","","20","0","0,01100","0,22"
"13","10","445-5970-1-ND","C2012X7R1E335K125AB","CAP CER 3.3UF 25V X7R 0805","","10","0","0,24100","2,41"
"14","4","MIC5264-SGYML-CT-ND","MIC5264-SGYML-TR","IC REG LINEAR 1.8V/3.3V 10MLF","","0","4","0,93000","3,72"
"15","10","283-MFHA1206R7000FCCT-ND","MFHA1206R7000FC","RES 0.7 OHM 1% 1W 1206","","10","0","0,13900","1,39"
